locality name,latitude,longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,price per sqft
Sector 28 Rohini,28.713012,77.1264429,3,Ice Cream Parlor,Restaurant,Coffee Shop,Shopping Mall,Advertising Agency,Moroccan Restaurant,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,7700.0
Sector 3 Dwarka,28.6059739,77.0479506,3,Convenience Store,Motorcycle Dealership,Coffee Shop,Chinese Restaurant,Movie Theater,Platform,Pizzeria,Pharmacy,Performing Arts Venue,Park,13350.0
Sector 3 Rohini,28.7060837,77.1028753,4,Indian Restaurant,Import and Export Service,Advertising Agency,Monument,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,Music Venue,Music Store,11249.0
Sector 34 Rohini,28.713012,77.1264429,3,Ice Cream Parlor,Restaurant,Coffee Shop,Shopping Mall,Advertising Agency,Moroccan Restaurant,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,8400.0
Sector 4 Dwarka,28.6046733,77.0490784,3,Convenience Store,Coffee Shop,Motorcycle Dealership,Advertising Agency,Playground,Pizzeria,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,14200.0
Sector 4 Rohini,28.713012,77.1264429,3,Ice Cream Parlor,Restaurant,Coffee Shop,Shopping Mall,Advertising Agency,Moroccan Restaurant,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,4472.0
Sector 5 Dwarka,28.5592725,77.0666248,1,Café,Coffee Shop,Hotel,Cocktail Bar,Mughlai Restaurant,Advertising Agency,Pizzeria,Pharmacy,Performing Arts Venue,Park,14300.0
Sector 7 Dwarka,28.5579591,77.0580701,1,Café,Pizzeria,Hotel,Cocktail Bar,Shopping Mall,Advertising Agency,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,13700.0
Sector 8 Rohini,28.713012,77.1264429,3,Ice Cream Parlor,Restaurant,Coffee Shop,Shopping Mall,Advertising Agency,Moroccan Restaurant,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,10200.0
Sector 9 Dwarka,28.574272,77.0653316,3,Bar,Burger Joint,Rail Station,Travel and Transportation,Chaat Place,Fried Chicken Joint,Music Store,Movie Theater,Mughlai Restaurant,Museum,13850.0
Sector 9 Rohini,28.713012,77.1264429,3,Ice Cream Parlor,Restaurant,Coffee Shop,Shopping Mall,Advertising Agency,Moroccan Restaurant,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,16300.0
Sector B Vasant Kunj,28.5265395,77.1566818,3,Pizzeria,Dessert Shop,Sandwich Spot,Café,Spa,Hotel,Bar,Chinese Restaurant,Fried Chicken Joint,Vegan and Vegetarian Restaurant,17850.0
Sector C Vasant Kunj,28.63576,77.22445,3,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,21450.0
Sector D Vasant Kunj,28.5343676,77.142188,3,Café,Pizzeria,Park,Coffee Shop,Spa,Advertising Agency,Pharmacy,Performing Arts Venue,North Indian Restaurant,Music Venue,19500.0
Shahdara,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,6100.0
Shakti Nagar,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,8500.0
Shalimar Bagh,28.7096432,77.1691744,4,Indian Restaurant,Mattress Store,Tea Room,Advertising Agency,Monument,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,Music Venue,11900.0
Sheikh Sarai,28.5357745,77.2231689,3,Pizzeria,Coffee Shop,Clothing Store,Advertising Agency,Playground,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,Music Venue,13350.0
Shivalik,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,9000.0
Sri Niwaspuri,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,500.0
